ville1	ville2	distance_m	duree_s
Maârif	Sidi Moumen	12844	1314
Hay Arrahma	Maârif	11569	1370
Maârif	Hay Moulay Rachid 4	10441	1291
Maârif	Bournazel	2026627	77488
Hay El Houda	Hay El Baraka	19266	1777
Hay Al Amal	Hay El Houda	10456	1014
Mers Sultan	Hay El Houda	11581	1034
Hay Essalam	Hay El Houda	135335	5548
ANFA	Hay El Houda	13237	1336
El Oulfa	Hay El Houda	18850	1629
Lissasfa	Hay El Houda	17316	1339
Sidi Bernoussi	Hay El Houda	6390	626
Hay El Farah	Hay El Houda	9061	997
Al Fida	Hay El Houda	10511	1052
Hay El Houda	BACHKOU	14148	1069
Hay Woroud	Hay El Houda	2953680	110246
LA GIRONDE	Hay El Houda	1755368	67879
Derb Ghallef	Hay El Houda	14541	1400
Sidi Moumen	Hay El Houda	1211	272
Hay Arrahma	Hay El Houda	2756	590
Hay Moulay Rachid 4	Hay El Houda	3006	651
Bournazel	Hay El Houda	2016811	76802
Hay Al Amal	Hay El Baraka	12969	1545
Mers Sultan	Hay El Baraka	11483	1373
Hay Essalam	Hay El Baraka	152099	6829
ANFA	Hay El Baraka	8114	1250
El Oulfa	Hay El Baraka	1834	332
Lissasfa	Hay El Baraka	5551	939
Sidi Bernoussi	Hay El Baraka	23154	1907
Hay El Farah	Hay El Baraka	13002	1578
Al Fida	Hay El Baraka	10194	1581
BACHKOU	Hay El Baraka	7898	1184
Hay Woroud	Hay El Baraka	2970444	111527
LA GIRONDE	Hay El Baraka	1772132	69159
Derb Ghallef	Hay El Baraka	7744	1154
Sidi Moumen	Hay El Baraka	19792	1908
Hay Arrahma	Hay El Baraka	18517	1965
Hay Moulay Rachid 4	Hay El Baraka	17389	1885
Bournazel	Hay El Baraka	2033575	78083
Mers Sultan	Hay Al Amal	3509	607
Hay Essalam	Hay Al Amal	141569	5832
Hay Al Amal	ANFA	4027	752
El Oulfa	Hay Al Amal	11317	1197
Lissasfa	Hay Al Amal	9783	908
Hay Al Amal	Sidi Bernoussi	12624	910
Hay El Farah	Hay Al Amal	665	138
Hay Al Amal	Al Fida	2008	375
Hay Al Amal	BACHKOU	6615	637
Hay Al Amal	Hay Woroud	2959914	110530
Hay Al Amal	LA GIRONDE	1761602	68163
Hay Al Amal	Derb Ghallef	4415	921
Sidi Moumen	Hay Al Amal	9261	912
Hay Arrahma	Hay Al Amal	6544	1037
Hay Moulay Rachid 4	Hay Al Amal	5860	934
Bournazel	Hay Al Amal	2023045	77086
Hay Essalam	Mers Sultan	143072	5875
Mers Sultan	ANFA	4296	741
Mers Sultan	El Oulfa	9907	1080
Lissasfa	Mers Sultan	8373	790
Mers Sultan	Sidi Bernoussi	14127	953
Hay El Farah	Mers Sultan	3429	638
Mers Sultan	Al Fida	2636	467
Mers Sultan	BACHKOU	5204	520
Mers Sultan	Hay Woroud	2961417	110573
Mers Sultan	LA GIRONDE	1763105	68206
Mers Sultan	Derb Ghallef	4803	902
Mers Sultan	Sidi Moumen	10765	955
Hay Arrahma	Mers Sultan	9490	1011
Mers Sultan	Hay Moulay Rachid 4	8362	932
Mers Sultan	Bournazel	2024548	77129
Hay Essalam	ANFA	145599	6231
Hay Essalam	El Oulfa	151211	6524
Lissasfa	Hay Essalam	149677	6234
Hay Essalam	Sidi Bernoussi	131200	5318
Hay El Farah	Hay Essalam	141422	5892
Hay Essalam	Al Fida	142873	5947
Hay Essalam	BACHKOU	146509	5964
Hay Essalam	Hay Woroud	2820121	105781
Hay Essalam	LA GIRONDE	1621808	63414
Hay Essalam	Derb Ghallef	146903	6295
Hay Essalam	Sidi Moumen	136010	5627
Hay Arrahma	Hay Essalam	140038	5856
Hay Essalam	Hay Moulay Rachid 4	139130	5885
Hay Essalam	Bournazel	1883251	72338
El Oulfa	ANFA	6866	1284
Lissasfa	ANFA	7963	1054
ANFA	Sidi Bernoussi	15781	1303
Hay El Farah	ANFA	4353	841
ANFA	Al Fida	2789	531
ANFA	BACHKOU	2137	500
ANFA	Hay Woroud	2963071	110923
ANFA	LA GIRONDE	1764758	68556
ANFA	Derb Ghallef	585	200
Sidi Moumen	ANFA	12418	1305
Hay Arrahma	ANFA	11144	1361
Hay Moulay Rachid 4	ANFA	10015	1282
Bournazel	ANFA	2026202	77479
Lissasfa	El Oulfa	3671	719
El Oulfa	Sidi Bernoussi	21588	1683
Hay El Farah	El Oulfa	11436	1354
El Oulfa	Al Fida	10658	1335
El Oulfa	BACHKOU	6676	1108
El Oulfa	Hay Woroud	2968878	111303
El Oulfa	LA GIRONDE	1770566	68935
El Oulfa	Derb Ghallef	6215	1171
El Oulfa	Sidi Moumen	18225	1684
Hay Arrahma	El Oulfa	16951	1741
El Oulfa	Hay Moulay Rachid 4	15823	1661
El Oulfa	Bournazel	2032009	77859
Lissasfa	Sidi Bernoussi	19819	1294
Lissasfa	Hay El Farah	9668	965
Lissasfa	Al Fida	8890	947
Lissasfa	BACHKOU	6645	841
Lissasfa	Hay Woroud	2967110	110914
Lissasfa	LA GIRONDE	1768797	68547
Lissasfa	Derb Ghallef	7857	997
Lissasfa	Sidi Moumen	16457	1296
Lissasfa	Hay Arrahma	15182	1352
Lissasfa	Hay Moulay Rachid 4	14054	1273
Lissasfa	Bournazel	2030240	77470
Hay El Farah	Sidi Bernoussi	13860	1148
Sidi Bernoussi	Al Fida	15311	1203
Sidi Bernoussi	BACHKOU	18948	1220
Sidi Bernoussi	Hay Woroud	2950146	110213
Sidi Bernoussi	LA GIRONDE	1751834	67846
Sidi Bernoussi	Derb Ghallef	19341	1551
Sidi Moumen	Sidi Bernoussi	8448	883
Hay Arrahma	Sidi Bernoussi	11803	1158
Hay Moulay Rachid 4	Sidi Bernoussi	11569	1141
Bournazel	Sidi Bernoussi	2013277	76769
Hay El Farah	Al Fida	2060	421
Hay El Farah	BACHKOU	6546	646
Hay El Farah	Hay Woroud	2958753	110508
Hay El Farah	LA GIRONDE	1760440	68141
Hay El Farah	Derb Ghallef	4743	984
Hay El Farah	Sidi Moumen	8100	890
Hay El Farah	Hay Arrahma	6079	982
Hay El Farah	Hay Moulay Rachid 4	5395	879
Hay El Farah	Bournazel	2021883	77064
Al Fida	BACHKOU	2914	458
Hay Woroud	Al Fida	2961648	110674
LA GIRONDE	Al Fida	1763336	68306
Derb Ghallef	Al Fida	2808	628
Sidi Moumen	Al Fida	10995	1055
Hay Arrahma	Al Fida	9721	1112
Hay Moulay Rachid 4	Al Fida	8593	1032
Bournazel	Al Fida	2024779	77230
Hay Woroud	BACHKOU	2963450	110739
LA GIRONDE	BACHKOU	1765138	68371
Derb Ghallef	BACHKOU	2643	551
Sidi Moumen	BACHKOU	12797	1120
Hay Arrahma	BACHKOU	11523	1177
Hay Moulay Rachid 4	BACHKOU	10395	1097
Bournazel	BACHKOU	2026581	77295
Hay Woroud	LA GIRONDE	1209342	43694
Hay Woroud	Derb Ghallef	2965778	110521
Sidi Moumen	Hay Woroud	2954885	109854
Hay Arrahma	Hay Woroud	2958913	110082
Hay Moulay Rachid 4	Hay Woroud	2958005	110112
Bournazel	Hay Woroud	1251344	46930
LA GIRONDE	Derb Ghallef	1767807	67914
Sidi Moumen	LA GIRONDE	1756914	67247
Hay Arrahma	LA GIRONDE	1760942	67475
Hay Moulay Rachid 4	LA GIRONDE	1760034	67505
Bournazel	LA GIRONDE	321924	12476
Sidi Moumen	Derb Ghallef	12656	1265
Hay Arrahma	Derb Ghallef	11381	1322
Hay Moulay Rachid 4	Derb Ghallef	10253	1242
Bournazel	Derb Ghallef	2026439	77440
Hay Arrahma	Sidi Moumen	3825	719
Sidi Moumen	Hay Moulay Rachid 4	4076	780
Sidi Moumen	Bournazel	2016283	76769
Hay Arrahma	Hay Moulay Rachid 4	914	167
Hay Arrahma	Bournazel	2019379	76993
Hay Moulay Rachid 4	Bournazel	2019212	76992
