repere1	repere2	distance_m	duree_s
Hay Al Amal	Sidi Bernoussi	12624	910
Hay Al Amal	Hay El Farah	665	138
Al Fida	Hay Al Amal	2008	375
Hay Al Amal	BACHKOU	6615	637
Hay Woroud	Hay Al Amal	2959914	110522
LA GIRONDE	Hay Al Amal	1761602	68163
Hay Al Amal	Derb Ghallef	4415	921
Hay Al Amal	Sidi Moumen	9261	912
Hay Al Amal	Hay Arrahma	606356	22098
Hay Al Amal	Hay Moulay Rachid 4	5860	934
Hay Al Amal	Bournazel	2023045	77086
Mers Sultan	Hay Essalam	140311	5734
Mers Sultan	ANFA	4644	807
El Oulfa	Mers Sultan	11259	1166
Lissasfa	Mers Sultan	9725	876
Sidi Bernoussi	Mers Sultan	11366	812
Hay El Farah	Mers Sultan	394	95
Al Fida	Mers Sultan	2328	418
Mers Sultan	BACHKOU	6557	606
Hay Woroud	Mers Sultan	2958656	110424
LA GIRONDE	Mers Sultan	1760344	68064
Derb Ghallef	Mers Sultan	5415	971
Mers Sultan	Sidi Moumen	8003	813
Mers Sultan	Hay Arrahma	605098	21999
Mers Sultan	Hay Moulay Rachid 4	5299	802
Bournazel	Mers Sultan	2021787	76988
Hay Essalam	ANFA	145599	6231
El Oulfa	Hay Essalam	151211	6524
Lissasfa	Hay Essalam	149677	6234
Sidi Bernoussi	Hay Essalam	131200	5318
Hay El Farah	Hay Essalam	141422	5892
Al Fida	Hay Essalam	142873	5947
BACHKOU	Hay Essalam	146509	5964
Hay Woroud	Hay Essalam	2820121	105774
LA GIRONDE	Hay Essalam	1621808	63414
Derb Ghallef	Hay Essalam	146903	6295
Hay Essalam	Sidi Moumen	136010	5627
Hay Arrahma	Hay Essalam	513385	19099
Hay Essalam	Hay Moulay Rachid 4	139130	5885
Bournazel	Hay Essalam	1883251	72338
El Oulfa	ANFA	6866	1284
Lissasfa	ANFA	7963	1054
Sidi Bernoussi	ANFA	15781	1303
Hay El Farah	ANFA	4353	841
Al Fida	ANFA	2789	531
BACHKOU	ANFA	2137	500
Hay Woroud	ANFA	2963071	110916
LA GIRONDE	ANFA	1764758	68556
Derb Ghallef	ANFA	585	200
ANFA	Sidi Moumen	12418	1305
Hay Arrahma	ANFA	609513	22491
ANFA	Hay Moulay Rachid 4	10015	1282
Bournazel	ANFA	2026202	77479
El Oulfa	Lissasfa	3671	719
El Oulfa	Sidi Bernoussi	21588	1683
El Oulfa	Hay El Farah	11436	1354
Al Fida	El Oulfa	10658	1335
El Oulfa	BACHKOU	6676	1108
Hay Woroud	El Oulfa	2968878	111295
LA GIRONDE	El Oulfa	1770566	68935
El Oulfa	Derb Ghallef	6215	1171
El Oulfa	Sidi Moumen	18225	1684
El Oulfa	Hay Arrahma	615320	22870
El Oulfa	Hay Moulay Rachid 4	15823	1661
El Oulfa	Bournazel	2032009	77859
Sidi Bernoussi	Lissasfa	19819	1294
Lissasfa	Hay El Farah	9668	965
Al Fida	Lissasfa	8890	947
Lissasfa	BACHKOU	6645	841
Hay Woroud	Lissasfa	2967110	110907
LA GIRONDE	Lissasfa	1768797	68547
Derb Ghallef	Lissasfa	7857	997
Lissasfa	Sidi Moumen	16457	1296
Lissasfa	Hay Arrahma	613552	22482
Lissasfa	Hay Moulay Rachid 4	14054	1273
Lissasfa	Bournazel	2030240	77470
Sidi Bernoussi	Hay El Farah	13860	1148
Al Fida	Sidi Bernoussi	15311	1203
